NEW FORMATED WAFER SUMMARY: 0.9SPDM PROCESS FOR VERSION_1.0
CODE: _BE248 LOT: AE57081
TESTED 06/19/13 ON SYSTEM# AG40721 BY SZY

WF# S# N+ 0.5*408 Rc       P+ 0.5*408 Rc       P1 0.5*520 RC       M1 800/0.6 RES      M2 800/0.7 RES      VIA .55*520 Rc      BVR GOX/NW@1uA      BVR GOX/PW@1uA      BVR HGOX/NW@1uA     BVR HGOX/PW@1uA     N+ 100/10 RES       P+ 100/10 RES       NW_F 100/10 RES     PP1 100/10 RES      P1 COMB 1/0.8       M1 COMB             M2 COMB             N 1x20 Vt           N 1x20 Ioff         N 1x20 Ion          N 1x20 BVd/sgt      NFOX 2.0x20 VTF     P 1x20 Vt           P 1x20 Ioff         P 1x20 Ion          P 1x20 BVd/sgt      PFOX 2.0x20 VTF     HNA 3x20 Vt         HNA 3x20 Ion        HNA 3x20 BVd/sgt    HPA 3x20 Vt         HPA 3x20 Ion        HPA 3x20 BVd/sgt    HNST 3x20 Vt        HNST 3x20 Ion       HNST 3x20 BVd/sgt   HNS 3x20 Vt         HNS 3x20 Ion        HNS 3x20 BVd/sgt    HPS 3x20 Vt         HPS 3x20 Ion        HPS 3x20 BVd/sgt    HNI 3x20 Vt         HNI 3x20 Ion        HNI 3x20 BVd/sgt    ZC 2.5/1.8 BV@10uA  HNAT 3x20 Vt        HNAT 3x20 Ion       HNAT 3x20 BVd/sgt   HPAT 3x20 Vt        HPAT 3x20 Ion       HPAT 3x20 BVd/sgt   HPST 3x20 Vt        HPST 3x20 Ion       HPST 3x20 BVd/sgt   HNIT 3x20 Vt        HNIT 3x20 Ion       HNIT 3x20 BVd/sgt   HiP1M 80/10         ZC 2.5/1.8 BV@1mA   NP1 100/10 RES      P1 100/10 RES       NWBN/PSUB BV        VN 5X5 HFE          VN 5X5 BVCEO        VN 5X5 Vbe          HNA 3x20 BVs/dgt    
Unit   ohm/CNT             ohm/CNT             ohm/CNT             ohm/sq              ohm/sq              ohm/CNT             VOLT                VOLT                VOLT                VOLT                ohm/sq              ohm/sq              ohm/sq              ohm/sq              #NAME?              #NAME?              #NAME?              VOLT                #NAME?              mA                  VOLT                VOLT                VOLT                #NAME?              mA                  VOLT                VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                VOLT                mA                  VOLT                ohm/sq              VOLT                ohm/sq              ohm/sq              VOLT                GAIN                VOLT                VOLT                VOLT                
01  1          23.654              75.385              25.577               .0659               .0446              1.9231             20.2000            -21.6000             80.0000            -80.0000             37.9000             55.2000                1850             38.4000             10.4588             10.4630             10.5948               .7615             10.5384              6.3550             11.8000             15.9370              -.9463             10.4835             -3.2920             11.9000            -11.0930              2.7408              9.9865             55.4000             -2.1110             -4.8580            -56.2000               .6409              1.7940             55.6000              2.1139              8.6775             56.2000             -1.2461             -3.6865            -56.2000              2.7465             11.6250             44.4000              5.6400               .7102              2.8710             55.6000              -.8267             -1.1520            -49.8000              -.5299              -.6560            -49.6000               .6726              3.3010             31.6000                1125              5.7330             30.9000             27.5000             48.2000             221.350             12.0340               .6059             12.2000      
01  2          23.077              70.385              25.000               .0684               .0466              1.7308             20.4000            -21.8000             80.0000            -80.0000             37.8000             54.8000                1870             38.4000             10.5654             10.5502             10.6240               .7517             10.5620              6.4115             11.8000             15.9370              -.9368             10.5952             -3.4175             11.9000            -11.0150              2.7072             10.0400             56.2000             -2.1671             -4.7250            -56.8000               .6396              1.8040             56.0000              2.0682              8.6735             56.4000             -1.2611             -3.6850            -56.2000              2.7186             11.6350             44.4000              5.6530               .6939              2.9060             55.8000              -.8272             -1.1380            -51.4000              -.5325              -.6334            -50.2000               .6635              3.3445             32.4000                1113              5.7520             30.9000             27.6000             48.6000             223.400             11.9790               .6062             12.2000      
01  3          24.038              78.462              27.115               .0650               .0444              1.9231             20.2000            -21.8000             80.0000            -80.0000             37.9000             55.3000                1820             38.6000             10.3866             10.5051             10.5369               .7674             10.4238              6.3405             11.8000             16.0930              -.9467             10.3443             -3.3270             11.9000            -11.0930              2.7796              9.9645             55.0000             -2.1403             -4.8225            -57.4000               .6407              1.7920             54.8000              2.0858              8.6210             54.4000             -1.2867             -3.6940            -57.0000              2.7479             11.5150             44.2000              5.6640               .7065              2.8780             54.6000              -.8246             -1.1475            -50.4000              -.5270              -.6563            -50.6000               .6715              3.3125             33.2000                1125              5.7750             31.4000             28.2000             48.2000             221.650             12.2830               .6057             12.3000      
01  4          23.846              77.692              26.538               .0650               .0439              1.9231             20.2000            -21.6000             80.0000            -80.0000             37.8000             55.3000                1850             39.1000             10.3048             10.3549             10.5177               .7648             10.3645              6.3720             11.8000             16.0930              -.9271             10.3195             -3.3650             11.9000            -11.1710              2.7654             10.0350             54.8000             -2.1601             -4.8690            -56.6000               .6414              1.8080             54.8000              2.1290              8.6480             54.6000             -1.2865             -3.6700            -56.4000              2.7739             11.4600             44.2000              5.6540               .7022              2.8915             54.8000              -.8277             -1.1635            -50.8000              -.5323              -.6462            -50.0000               .6718              3.3155             32.0000                1125              5.7480             31.5000             28.1000             47.8000             216.450             12.1840               .6065             12.4000      
01  5          23.654              75.192              26.154               .0663               .0437              1.9231             20.2000            -21.6000             80.0000            -80.0000             37.5000             55.0000                1840             38.8000             10.4318             10.4919             10.5720               .7504             10.4530              6.3745             11.8000             16.2500              -.9472             10.4143             -3.3505             11.9000            -11.2500              2.7330             10.0250             54.8000             -2.1767             -4.6970            -56.4000               .6207              1.8265             55.0000              2.0675              8.6240             54.8000             -1.3632             -3.6230            -56.6000              2.7400             11.5050             44.0000              5.6420               .6922              2.9155             55.0000              -.8378             -1.1285            -50.0000              -.5471              -.6335            -49.8000               .6598              3.3550             32.2000                1125              5.7620             31.5000             27.7000             48.0000             227.250             12.0040               .6056             12.2000      
02  1          23.846              74.231              25.385               .0651               .0388              1.9231             20.2000            -21.6000             80.0000            -80.0000             38.0000             55.1000                1840             38.3000             10.4088             10.3886             10.4652               .7669             10.4316              6.3120             11.8000             15.7810              -.9284             10.4411             -3.3300             11.9000            -11.0930              2.7800              9.9425             55.8000             -2.1308             -4.8120            -56.2000               .6390              1.7830             55.8000              2.1110              8.5670             56.6000             -1.3083             -3.6745            -55.4000              2.7549             11.5450             44.2000              5.6610               .7075              2.8610             55.8000              -.8316             -1.1430            -49.4000              -.5264              -.6627            -49.4000               .6819              3.2950             33.2000                1125              5.7480             31.0000             27.7000             48.2000             217.300             12.0020               .6060             12.1000      
02  2          23.077              69.615              24.231               .0646               .0404              1.7308             20.2000            -21.6000             80.0000            -80.0000             37.9000             54.9000                1860             38.4000             10.4400             10.4707             10.4562               .7493             10.5540              6.4120             11.8000             15.7810              -.9412             10.4762             -3.3955             11.9000            -11.0150              2.7372              9.9815             56.0000             -2.1534             -4.6895            -56.6000               .6379              1.7900             56.4000              2.0788              8.6000             56.4000             -1.2920             -3.6600            -56.0000              2.7254             11.6100             44.4000              5.6450               .7038              2.8845             56.0000              -.8367             -1.1340            -50.8000              -.5290              -.6433            -49.6000               .6667              3.3335             32.6000                1113              5.7620             30.6000             27.5000             48.2000             219.400             11.9620               .6064             12.3000      
02  3          24.615              77.500              26.731               .0639               .0402              1.7308             20.2000            -21.8000             80.0000            -80.0000             38.1000             55.4000                1870             38.6000             10.3120             10.3980             10.4554               .7664             10.3986              6.3525             11.8000             16.2500              -.9399             10.4514             -3.3330             11.9000            -11.0930              2.7665              9.8935             55.2000             -2.1781             -4.7785            -56.8000               .6516              1.7695             55.4000              2.1155              8.4865             55.2000             -1.3563             -3.6625            -56.8000              2.7785             11.4950             44.4000              5.6670               .6973              2.8910             55.0000              -.8326             -1.1490            -49.8000              -.5289              -.6567            -50.0000               .6688              3.3125             33.0000                1138              5.7520             31.2000             27.9000             48.2000             224.950             12.1690               .6057             12.4000      
02  4          24.615              79.038              26.154               .0650               .0396              1.7308             20.2000            -21.6000             80.0000            -80.0000             38.1000             55.3000                1870             38.7000             10.2811             10.3026             10.3690               .7701             10.3189              6.3225             11.8000             16.2500              -.9377             10.2827             -3.3150             11.9000            -11.1710              2.7983              9.9480             55.2000             -2.1775             -4.8550            -56.6000               .6431              1.7940             55.2000              2.1267              8.5880             55.4000             -1.2965             -3.6945            -56.0000              2.8080             11.4500             44.2000              5.6640               .7080              2.8750             55.4000              -.8317             -1.1505            -50.6000              -.5277              -.6506            -50.0000               .6911              3.2805             32.6000                1125              5.7540             31.3000             28.0000             48.2000             214.250             12.1290               .6068             12.2000      
02  5          23.654              75.577              25.962               .0645               .0400              1.7308             20.2000            -21.6000             80.0000            -80.0000             37.8000             55.1000                1840             38.5000             10.3978             10.4109             10.5146               .7523             10.4511              6.3820             11.9000             16.2500              -.9451             10.3087             -3.3865             11.9000            -11.1710              2.7426              9.9680             55.4000             -2.1615             -4.6870            -56.6000               .6177              1.8100             55.6000              2.0962              8.5555             55.4000             -1.3564             -3.6175            -56.4000              2.7721             11.4450             44.2000              5.6410               .6904              2.9170             55.2000              -.8422             -1.1295            -50.0000              -.5445              -.6326            -49.4000               .6617              3.3520             32.4000                1125              5.7310             30.9000             27.7000             48.2000             223.550             12.0160               .6059             12.3000      
03  1          23.846              77.308              25.962               .0664               .0449              1.9231             20.2000            -21.6000             80.0000            -80.0000             37.9000             55.2000                1840             38.5000             10.3655             10.4255             10.4885               .7610             10.5124              6.3410             11.8000             15.7810              -.9380             10.4424             -3.3655             11.9000            -11.0930              2.7691              9.9560             55.4000             -2.0680             -4.8260            -56.4000               .6390              1.7910             55.8000              2.1098              8.5630             56.0000             -1.3000             -3.6780            -55.6000              2.7643             11.5200             44.4000              5.6040               .7092              2.8580             55.8000              -.8417             -1.1280            -49.4000              -.5271              -.6691            -49.6000               .6707              3.2785             32.4000                1125              5.7430             31.1000             27.8000             48.2000             218.600             12.1060               .6061             12.4000      
03  2          23.077              69.808              25.000               .0681               .0467              1.9231             20.4000            -21.6000             80.0000            -80.0000             37.9000             54.7000                1850             38.7000             10.4706             10.4593             10.5908               .7479             10.5146              6.4180             11.7000             15.7810              -.9420             10.5339             -3.4210             11.9000            -11.0150              2.7341              9.9670             56.4000             -2.1385             -4.7260            -56.4000               .6287              1.7995             56.4000              2.0881              8.5915             56.6000             -1.3210             -3.6660            -56.0000              2.7434             11.5550             44.4000              5.6540               .6935              2.8940             56.2000              -.8451             -1.1340            -50.8000              -.5352              -.6440            -49.4000               .6674              3.3385             32.8000                1125              5.7590             30.9000             27.6000             48.4000             220.450             11.9390               .6062             12.2000      
03  3          24.423              78.462              27.308               .0655               .0448              2.1154             20.2000            -21.8000             80.0000            -80.0000             37.9000             55.4000                1840             38.8000             10.3796             10.4418             10.6100               .7580             10.4142              6.3535             11.8000             16.0930              -.9471             10.3353             -3.3280             11.9000            -11.0930              2.7840              9.8675             55.2000             -2.1529             -4.7755            -56.8000               .6425              1.7790             55.2000              2.1402              8.5125             55.0000             -1.3020             -3.6790            -56.6000              2.7759             11.4400             44.2000              5.6250               .7047              2.8790             55.0000              -.8314             -1.1395            -49.4000              -.5297              -.6628            -50.0000               .6764              3.2905             36.4000                1138              5.7300             31.3000             28.1000             48.2000             222.800             12.2040               .6060             12.3000      
03  4          24.615              79.808              27.115               .0654               .0435              2.1154             20.2000            -21.6000             80.0000            -80.0000             37.9000             55.4000                1830             38.9000             10.3134             10.3858             10.5015               .7548             10.3605              6.3700             11.8000             16.0930              -.9398             10.3263             -3.2945             11.9000            -11.2500              2.7929              9.9330             54.8000             -2.1413             -4.8430            -56.2000               .6427              1.7945             55.0000              2.1289              8.6075             54.6000             -1.2833             -3.7075            -56.6000              2.7918             11.4250             44.0000              5.6410               .6996              2.8635             54.8000              -.8367             -1.1400            -50.8000              -.5288              -.6527            -49.8000               .6687              3.2760             33.4000                1125              5.7470             31.6000             28.1000             48.0000             217.900             12.1840               .6067             12.3000      
03  5          24.038              77.308              26.538               .0675               .0439              1.9231              5.0000            -21.6000             80.0000            -80.0000             37.6000             55.3000                1850             38.8000             10.4732             10.4428             10.5307               .7477             10.4828              6.3615             11.9000             16.2500              -.9461             10.3929             -3.3440             11.9000            -11.2500              2.7557              9.9585             55.2000             -2.1807             -4.7065            -56.2000               .6193              1.8100             55.4000              2.0942              8.5650             55.0000             -1.3380             -3.6320            -56.2000              2.7824             11.4550             44.2000              5.6340               .6914              2.9045             55.2000              -.8471             -1.1220            -49.6000              -.5548              -.6351            -49.4000               .6617              3.3400             32.8000                1125              5.7490             31.1000             27.6000             48.0000             228.000             11.9100               .6057             12.3000      
04  1          23.462              76.346              25.769               .0654               .0383              1.7308             20.2000            -21.6000             80.0000            -80.0000             37.8000             55.4000                1900             38.3000             10.3181             10.3217             10.4226               .7686             10.4897              6.2735             11.7000             15.7810              -.9370             10.5025             -3.3225             11.9000            -11.0150              2.7727              9.9295             55.2000             -2.1615             -4.8020            -56.0000               .6486              1.7790             55.6000              2.1196              8.6185             56.4000             -1.2400             -3.6990            -55.2000              2.7588             11.6300             44.0000              5.6180               .7007              2.8620             55.6000              -.8232             -1.1460            -48.6000              -.5342              -.6605            -48.8000               .6711              3.3015             32.4000                1138              5.7350             30.8000             27.6000             48.2000             222.500             11.9850               .6060             12.2000      
04  2          23.077              70.385              24.808               .0664               .0400              1.7308             20.2000            -21.6000             80.0000            -80.0000             37.7000             54.8000                1880             38.7000             10.3923             10.3890             10.4330               .7528             10.5040              6.3955             11.8000             15.7810              -.9330             10.4000             -3.4215             11.9000            -10.9370              2.7273             10.0050             56.4000             -2.1303             -4.7140            -55.8000               .6352              1.7880             56.0000              2.0940              8.6155             56.4000             -1.2624             -3.6745            -55.4000              2.7175             11.6200             44.2000              5.6490               .6942              2.8855             55.8000              -.8374             -1.1310            -50.0000              -.5311              -.6494            -49.0000               .6662              3.3265             32.6000                1113              5.7700             30.8000             27.6000             48.2000             224.750             11.8840               .6062             12.2000      
04  3          24.038              78.654              27.115               .0644               .0397              1.9231             20.2000            -21.8000             80.0000            -80.0000             37.8000             55.4000                1870             38.4000             10.3575             10.3853             10.4911               .7772             10.3749              6.2940             11.9000             16.2500              -.9374             10.2863             -3.3585             11.9000            -11.2500              2.7584              9.9255             54.8000             -2.1383             -4.7920            -56.4000               .6402              1.7770             55.0000              2.1228              8.5255             54.8000             -1.3163             -3.6710            -56.2000              2.7712             11.4750             44.0000              5.6670               .7080              2.8805             54.6000              -.8371             -1.1490            -49.0000              -.5293              -.6613            -49.6000               .6686              3.3115             35.8000                1125              5.7640             31.2000             27.9000             48.0000             225.050             12.1620               .6055             12.3000      
04  4          23.846              79.038              26.731               .0648               .0397              1.7308             20.2000            -21.6000             80.0000            -80.0000             37.8000             55.6000                1890             38.8000             10.2472             10.3537             10.4268               .7678             10.3446              6.3095             11.7000             16.2500              -.9298             10.2626             -3.3335             11.9000            -11.2500              2.7907              9.9500             54.4000             -2.1571             -4.8350            -56.0000               .6426              1.7840             54.8000              2.1380              8.5600             54.8000             -1.2946             -3.6650            -55.8000              2.7943             11.4950             43.6000              5.6450               .7029              2.8685             54.8000              -.8295             -1.1570            -50.2000              -.5371              -.6419            -49.6000               .6678              3.3140             32.6000                1138              5.7510             31.4000             27.9000             47.8000             217.500             12.0440               .6066             12.3000      
04  5          23.654              76.538              26.346               .0658               .0395              1.5385             20.2000            -21.6000             80.0000            -80.0000             37.6000             55.1000                1860             38.4000             10.4665             10.4649             10.5690               .7557             10.4731              6.3675             11.8000             16.0930              -.9481             10.3317             -3.3730             11.9000            -11.2500              2.7575              9.9630             55.2000             -2.1808             -4.6765            -55.6000               .6274              1.8050             55.2000              2.0660              8.5635             54.8000             -1.3591             -3.6120            -56.0000              2.7272             11.4950             44.2000              5.6160               .6901              2.9105             55.0000              -.8393             -1.1330            -49.0000              -.5493              -.6322            -48.2000               .6575              3.3585             33.4000                1125              5.7100             31.2000             27.7000             48.0000             228.150             11.8990               .6054             12.3000      
05  1          23.846              75.577              25.385               .0663               .0452              1.9231             20.2000            -21.6000             80.0000            -80.0000             38.0000             55.2000                1890             38.2000             10.3358             10.3994             10.4818               .7640             10.5216              6.2540             11.8000             16.2500              -.9296             10.4751             -3.2745             11.9000            -11.1710              2.7853              9.9485             55.8000             -2.0813             -4.8145            -56.2000               .6411              1.7750             56.2000              2.1085              8.5260             56.8000             -1.3071             -3.6595            -55.6000              2.7837             11.4900             44.6000              5.6320               .6999              2.8710             56.0000              -.8228             -1.1520            -49.8000              -.5233              -.6585            -49.4000               .6716              3.3055             32.4000                1125              5.7250             30.7000             27.7000             48.2000             219.800             12.0090               .6062             12.3000      
05  2          23.462              68.846              24.615               .0684               .0478              1.5385             20.2000            -21.6000             80.0000            -80.0000             37.9000             54.9000                1870             38.5000             10.4196             10.4595             10.5541               .7528             10.5579              6.3660             11.8000             15.9370              -.9376             10.5521             -3.3255             11.9000            -10.9370              2.7394              9.9715             56.2000             -2.1445             -4.6725            -56.4000               .6355              1.7865             56.4000              2.1004              8.6065             56.6000             -1.2726             -3.6575            -56.2000              2.7370             11.5200             44.6000              5.6190               .6982              2.8880             56.2000              -.8288             -1.1330            -50.8000              -.5320              -.6335            -49.8000               .6673              3.3415             33.0000                1113              5.7300             30.9000             27.4000             48.4000             223.200             11.9360               .6062             12.3000      
05  3          24.615              77.115              26.731               .0657               .0454              1.9231             20.2000            -21.8000             80.0000            -80.0000             38.1000             55.3000                1860             38.6000             10.3416             10.4030             10.4253               .7629             10.4336              6.3170             11.8000             16.2500              -.9412             10.3089             -3.2815             11.9000            -11.0930              2.7703              9.9455             55.4000             -2.1468             -4.7650            -57.0000               .6525              1.7685             55.4000              2.0974              8.5500             55.2000             -1.2749             -3.6855            -56.6000              2.7584             11.5350             44.4000              5.6440               .7031              2.8740             55.0000              -.8246             -1.1445            -49.6000              -.5202              -.6580            -50.2000               .6883              3.3020             33.0000                1138              5.7420             31.2000             28.0000             48.2000             224.600             12.1910               .6056             12.4000      
05  4          24.808              76.923              26.923               .0658               .0441              1.7308             20.2000            -21.6000             80.0000            -80.0000             38.2000             55.4000                1890             38.8000             10.2884             10.3105             10.4322               .7577             10.3174              6.3195             11.9000             16.2500              -.9443             10.2881             -3.2775             11.9000            -11.2500              2.7924              9.9090             55.4000             -2.1595             -4.8125            -57.8000               .6476              1.7800             55.4000              2.1141              8.5320             55.2000             -1.3255             -3.6635            -56.6000              2.8118             11.4000             44.2000              5.6560               .7062              2.8675             55.6000              -.8279             -1.1555            -51.0000              -.5269              -.6451            -50.2000               .6808              3.2915             33.0000                1125              5.7540             31.3000             28.1000             48.0000             218.250             12.0650               .6069             12.4000      
05  5          24.231              74.808              26.154               .0672               .0442              1.9231             20.2000            -21.6000             80.0000            -80.0000             37.9000             55.1000                1870             38.5000             10.4167             10.4042             10.5010               .7549             10.4300              6.3165             11.9000             16.2500              -.9440             10.3005             -3.2955             11.9000            -11.2500              2.7408              9.9335             55.6000             -2.1761             -4.6315            -56.6000               .6239              1.7965             55.6000              2.0953              8.5270             55.4000             -1.3345             -3.6035            -56.4000              2.7661             11.4650             44.4000              5.6270               .6942              2.8940             55.4000              -.8397             -1.1235            -50.2000              -.5483              -.6274            -50.0000               .6628              3.3395             33.0000                1125              5.7410             31.1000             27.7000             48.2000             226.900             12.0320               .6059             12.3000      
